id,feature_1,feature_2,feature_3,feature_4,target_regression,target_binary,target_multiclass
1,39.96,8.77,5,0.42,123.01,1,1
2,86.06,6.61,4,1.24,239.03,1,2
3,68.56,3.98,2,0.02,197.68,1,2
4,57.89,1.57,3,2.18,151.74,0,1
5,22.48,3.8,1,-0.4,80.02,0,0
6,22.48,3.93,1,4.08,88.91,0,0
7,14.65,7.57,4,0.94,61.68,0,0
8,79.29,6.74,3,-1.29,223.95,1,2
9,58.09,8.98,5,-1.61,157.52,1,1
10,66.65,5.25,3,0.72,184.58,1,2
11,11.65,2.08,4,-0.34,33.67,0,0
12,87.59,7.42,4,1.07,242.02,1,2
13,76.6,7.85,3,0.71,233.13,1,2
14,26.99,6.05,4,-0.11,82.36,0,0
15,24.55,7.94,3,-1.27,90.03,0,0
16,24.67,5.44,2,-2.27,84.68,0,0
17,34.34,5.7,3,-0.67,115.85,0,0
18,51.98,4.85,3,1.28,145.09,1,1
19,44.56,1.23,4,0.32,120.62,0,1
20,33.3,1.97,4,-1.87,86.38,0,0
21,58.95,1.28,1,0.26,154.98,0,1
22,21.16,6.73,1,0.58,90.0,0,0
23,33.37,3.83,2,-1.33,101.75,0,0
24,39.31,5.58,1,0.23,124.94,1,1
25,46.49,9.17,3,0.09,154.39,1,1
26,72.81,3.24,4,-1.71,188.49,1,2
27,25.97,4.69,1,0.54,92.06,0,0
28,51.14,7.8,1,0.84,170.62,1,1
29,57.39,3.06,2,1.62,170.08,0,1
30,13.72,1.69,2,1.58,41.24,0,0
31,58.6,3.61,3,-2.07,169.5,1,1
32,23.64,2.45,4,-1.41,55.02,0,0
33,15.2,9.37,2,0.77,79.88,0,0
34,85.91,8.27,1,0.77,258.95,1,2
35,87.25,6.7,4,0.77,245.48,1,2
36,74.67,8.84,4,5.78,225.59,1,2
37,34.37,8.23,1,0.86,126.09,1,0
38,17.81,2.68,2,1.7,59.33,0,0
39,64.74,9.03,1,1.43,204.17,1,1
40,45.21,5.85,4,0.98,140.14,0,1
41,19.76,8.27,5,-0.47,78.56,0,0
42,49.61,9.06,5,1.14,153.51,1,1
43,12.75,3.86,3,-1.16,51.07,0,0
44,82.75,1.99,1,-0.36,222.83,1,2
45,30.7,3.05,1,-0.73,98.92,0,0
46,63.0,4.84,3,0.12,181.19,1,1
47,34.94,8.36,3,3.47,122.85,1,0
48,51.61,8.75,3,-2.8,158.02,1,1
49,53.74,1.06,4,1.03,141.87,0,1
50,24.79,5.6,1,-2.42,90.8,0,0
51,87.57,4.76,4,-0.71,234.8,1,2
52,72.01,3.0,3,1.63,196.06,1,2
53,85.16,2.08,1,0.1,234.76,1,2
54,81.59,4.04,4,-1.62,212.75,1,2
55,57.83,9.49,4,-1.07,181.67,1,1
56,83.75,3.91,3,1.02,226.53,1,2
57,17.08,5.67,1,-1.1,69.64,0,0
58,25.68,7.33,3,0.32,100.49,0,0
59,13.62,4.27,1,0.07,62.36,0,0
60,36.03,9.75,5,-0.98,126.67,1,1
61,41.09,9.66,2,3.22,156.72,1,1
62,31.71,3.27,2,0.95,97.89,0,0
63,76.3,5.48,2,-3.04,215.52,1,2
64,38.54,3.71,3,0.28,111.06,0,1
65,32.47,3.56,5,-0.99,90.55,0,0
66,53.42,1.33,1,1.28,147.14,0,1
67,21.27,6.49,4,-1.19,75.83,0,0
68,74.18,5.52,1,-0.17,217.25,1,2
69,15.96,1.46,4,0.76,40.79,0,0
70,88.95,3.51,1,1.3,255.83,1,2
71,71.78,9.17,5,-1.8,203.4,1,2
72,25.9,3.16,4,-0.5,68.57,0,0
73,10.44,2.3,3,-0.71,41.03,0,0
74,75.24,5.41,1,-0.98,219.23,1,2
75,66.55,9.87,1,2.65,219.95,1,2
76,68.32,3.18,4,0.61,185.58,1,2
77,71.7,7.05,3,-1.89,205.55,1,2
78,15.92,7.85,3,1.38,69.78,0,0
79,38.68,3.14,5,3.18,109.41,0,1
80,19.27,7.55,3,1.55,78.31,0,0
